timestamp;metodo;endpoint;status_code;latencia_ms
2026-05-14 01:52:51.563253;POST;/api/b3/orders;500;1800
2026-05-14 01:52:51.563253;GET;/api/market/news;500;700
2026-05-14 01:52:51.563253;GET;/api/portfolio/performance;504;70
2026-05-14 01:52:51.563253;POST;/api/orders/validate;422;3000
2026-05-14 01:52:51.563253;POST;/api/auth/login;500;2500
2026-05-14 01:52:51.563253;POST;/api/b3/orders;500;1800
2026-05-14 01:52:51.563253;POST;/api/risk/check;200;700
2026-05-14 01:52:51.563253;GET;/api/trades/summary;200;3100
2026-05-14 01:52:51.563253;POST;/api/orders/sell;504;1600
2026-05-14 01:52:51.563253;GET;/api/market/news;500;700
2026-05-14 01:52:56.594641;POST;/api/b3/orders;500;1800;10
2026-05-14 01:52:56.594641;GET;/api/market/news;500;700;10
2026-05-14 01:52:56.594641;GET;/api/portfolio/performance;504;70;10
2026-05-14 01:52:56.594641;POST;/api/orders/validate;422;3000;10
2026-05-14 01:52:56.594641;POST;/api/auth/login;500;2500;10
2026-05-14 01:52:56.594641;POST;/api/b3/orders;500;1800;10
2026-05-14 01:52:56.594641;POST;/api/risk/check;200;700;10
2026-05-14 01:52:56.594641;GET;/api/trades/summary;200;3100;10
2026-05-14 01:52:56.594641;POST;/api/orders/sell;504;1600;10
2026-05-14 01:52:56.594641;GET;/api/market/news;500;700;10
2026-05-14 01:52:56.594641;POST;/api/b3/orders;500;1800;10
2026-05-14 01:52:56.594641;POST;/api/auth/2fa/verify;503;900;10
2026-05-14 01:52:56.594641;POST;/api/auth/logout;500;1800;10
2026-05-14 01:52:56.594641;GET;/api/portfolio;200;3400;10
2026-05-14 01:52:56.594641;POST;/api/order-preview;200;140;10
2026-05-14 01:52:56.594641;GET;/api/market/orderbook/PETR4;504;3200;10
2026-05-14 01:52:56.594641;GET;/api/market/news;500;700;10
2026-05-14 01:52:56.594641;GET;/api/trades/summary;200;3100;10
2026-05-14 01:52:56.594641;POST;/api/risk/check;200;700;10
2026-05-14 01:52:56.594641;POST;/api/b3/orders;500;1800;10
2026-05-14 01:53:01.637450;POST;/api/b3/orders;500;1800;10
2026-05-14 01:53:01.637450;GET;/api/market/news;500;700;10
2026-05-14 01:53:01.637450;GET;/api/portfolio/performance;504;70;10
2026-05-14 01:53:01.637450;POST;/api/orders/validate;422;3000;10
2026-05-14 01:53:01.637450;POST;/api/auth/login;500;2500;10
2026-05-14 01:53:01.637450;POST;/api/b3/orders;500;1800;10
2026-05-14 01:53:01.637450;POST;/api/risk/check;200;700;10
2026-05-14 01:53:01.637450;GET;/api/trades/summary;200;3100;10
2026-05-14 01:53:01.637450;POST;/api/orders/sell;504;1600;10
2026-05-14 01:53:01.637450;GET;/api/market/news;500;700;10
2026-05-14 01:53:01.637450;POST;/api/b3/orders;500;1800;10
2026-05-14 01:53:01.637450;POST;/api/auth/2fa/verify;503;900;10
2026-05-14 01:53:01.637450;POST;/api/auth/logout;500;1800;10
2026-05-14 01:53:01.637450;GET;/api/portfolio;200;3400;10
2026-05-14 01:53:01.637450;POST;/api/order-preview;200;140;10
2026-05-14 01:53:01.637450;GET;/api/market/orderbook/PETR4;504;3200;10
2026-05-14 01:53:01.637450;GET;/api/market/news;500;700;10
2026-05-14 01:53:01.637450;GET;/api/trades/summary;200;3100;10
2026-05-14 01:53:01.637450;POST;/api/risk/check;200;700;10
2026-05-14 01:53:01.637450;POST;/api/b3/orders;500;1800;10
2026-05-14 01:53:01.637450;POST;/api/orders/buy;503;2800;10
2026-05-14 01:53:01.637450;GET;/api/account/balance;500;45;10
2026-05-14 01:53:01.637450;POST;/api/orders/buy;503;2800;10
2026-05-14 01:53:01.637450;DELETE;/api/orders/cancel;500;160;10
2026-05-14 01:53:01.637450;GET;/api/trades;500;700;10
2026-05-14 01:53:01.637450;POST;/api/deposits;201;2600;10
2026-05-14 01:53:01.637450;GET;/api/market/orderbook/PETR4;504;3200;10
2026-05-14 01:53:01.637450;POST;/api/auth/logout;500;1800;10
2026-05-14 01:53:01.637450;DELETE;/api/orders/cancel;500;160;10
2026-05-14 01:53:01.637450;GET;/api/trades/summary;200;3100;10
